id,exp,species,site,rep,space,tx,plot,Species,Site,Number,done
SAMRAC_G07,buds,SAMRAC,GR,7,1,A,PURPLE,SAMRAC,G,1,X
SAMRAC_G13,buds,SAMRAC,GR,4,1,B,PURPLE,SAMRAC,G,1,X
BETPOP_W04,buds,BETPOP,WM,2,1.5,B,PURPLE,BETPOP,W,1,X
SAMRAC_G10,buds,SAMRAC,GR,1,1,B,PURPLE,SAMRAC,G,2,X
BETPAP_G09,buds,BETPAP,GR,2,1.5,B,PURPLE,BETPAP,G,2,X
BETPOP_W05,buds,BETPOP,WM,3,1.5,A,PURPLE,BETPOP,W,2,X
BETPAP_G06,buds,BETPAP,GR,6,1.5,A,PURPLE,BETPAP,G,3,X
BETPAP_G13,buds,BETPAP,GR,6,1.5,B,PURPLE,BETPAP,G,3,X
BETPOP_W10,buds,BETPOP,WM,5,1.5,A,PURPLE,BETPOP,W,3,X
SAMRAC_G06,buds,SAMRAC,GR,6,1,A,PURPLE,SAMRAC,G,4,X
BETPAP_G04,buds,BETPAP,GR,4,1.5,A,PURPLE,BETPAP,G,4,X
BETPAP_G14,buds,BETPAP,GR,7,1.5,B,PURPLE,BETPAP,G,4,X
SAMRAC_G03,buds,SAMRAC,GR,3,1,A,PURPLE,SAMRAC,G,5,X
SAMRAC_G05,buds,SAMRAC,GR,5,1,A,PURPLE,SAMRAC,G,5,X
SAMRAC_G12,buds,SAMRAC,GR,3,1,B,PURPLE,SAMRAC,G,5,X
SAMRAC_G02,buds,SAMRAC,GR,2,1,A,PURPLE,SAMRAC,G,6,X
SAMRAC_G14,buds,SAMRAC,GR,5,1,B,PURPLE,SAMRAC,G,6,X
BETPOP_W02,buds,BETPOP,WM,1,1.5,B,PURPLE,BETPOP,W,6,X
SAMRAC_G11,buds,SAMRAC,GR,2,1,B,PURPLE,SAMRAC,G,7,X
BETPAP_G10,buds,BETPAP,GR,3,1.5,B,PURPLE,BETPAP,G,7,X
BETPOP_W14,buds,BETPOP,WM,7,1.5,B,PURPLE,BETPOP,W,7,X
SAMRAC_G01,buds,SAMRAC,GR,1,1,A,PURPLE,SAMRAC,G,8,X
SAMRAC_G17,buds,SAMRAC,GR,8,1,B,PURPLE,SAMRAC,G,8,X
BETPAP_G12,buds,BETPAP,GR,5,1.5,B,PURPLE,BETPAP,G,8,X
BETPAP_G05,buds,BETPAP,GR,5,1.5,A,PURPLE,BETPAP,G,9,X
BETPOP_W03,buds,BETPOP,WM,2,1.5,A,PURPLE,BETPOP,W,9,X
BETPOP_W07,buds,BETPOP,WM,4,1.5,A,YELLOW,BETPOP,W,9,X
SAMRAC_G08,buds,SAMRAC,GR,8,1,A,YELLOW,SAMRAC,G,10,X
BETPAP_G08,buds,BETPAP,GR,1,1.5,B,YELLOW,BETPAP,G,10,X
BETPOP_W06,buds,BETPOP,WM,3,1.5,B,YELLOW,BETPOP,W,10,X
BETPAP_G02,buds,BETPAP,GR,2,1.5,A,YELLOW,BETPAP,G,11,X
BETPOP_W09,buds,BETPOP,WM,5,1.5,B,YELLOW,BETPOP,W,11,X
BETPOP_W16,buds,BETPOP,WM,8,1.5,B,YELLOW,BETPOP,W,11,X
SAMRAC_G09,buds,SAMRAC,GR,9,1,A,YELLOW,SAMRAC,G,12,X
SAMRAC_G16,buds,SAMRAC,GR,7,1,B,YELLOW,SAMRAC,G,12,X
BETPOP_W15,buds,BETPOP,WM,8,1.5,A,YELLOW,BETPOP,W,12,X
SAMRAC_G04,buds,SAMRAC,GR,4,1,A,YELLOW,SAMRAC,G,13,X
SAMRAC_G15,buds,SAMRAC,GR,6,1,B,YELLOW,SAMRAC,G,13,X
SAMRAC_G18,buds,SAMRAC,GR,9,1,B,YELLOW,SAMRAC,G,13,X
BETPAP_G01,buds,BETPAP,GR,1,1.5,A,YELLOW,BETPAP,G,14,X
BETPAP_G03,buds,BETPAP,GR,3,1.5,A,YELLOW,BETPAP,G,14,X
BETPOP_W08,buds,BETPOP,WM,4,1.5,B,YELLOW,BETPOP,W,14,X
BETPAP_G07,buds,BETPAP,GR,7,1.5,A,YELLOW,BETPAP,G,15,X
BETPOP_W12,buds,BETPOP,WM,6,1.5,B,YELLOW,BETPOP,W,15,X
BETPAP_G11,buds,BETPAP,GR,4,1.5,B,YELLOW,BETPAP,G,16,X
BETPOP_W13,buds,BETPOP,WM,7,1.5,A,YELLOW,BETPOP,W,16,X
BETPOP_W11,buds,BETPOP,WM,6,1.5,A,YELLOW,BETPOP,W,17,X
BETPOP_W01,buds,BETPOP,WM,1,1.5,A,YELLOW,BETPOP,W,18,X
