Data Format: ,,,,,,,,,,,,,,,,
"  dateTimeDelimiter: "" """,,,,,,,,,,,,,,,,
"  decimalSeparator: "".""",,,,,,,,,,,,,,,,
"  dataDelimiter: ""","  dateFormat: M/d/yy  timeFormat: HH:mm:ss  gmtOffset: -5""",,,,,,,,,,,,,,,
  daylightSavings: false,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Logger Info: ,,,,,,,,,,,,,,,,
  - &1,,,,,,,,,,,,,,,,
"    launchDescription: ""In Field """,,,,,,,,,,,,,,,,
    model: U30,,,,,,,,,,,,,,,,
    vendor: Onset Computer Corporation,,,,,,,,,,,,,,,,
    serialNumber: 9927044,,,,,,,,,,,,,,,,
    memorySize: 0,,,,,,,,,,,,,,,,
    firmwareVersion: 1.113,,,,,,,,,,,,,,,,
    firmwareVersionRaw: 0,,,,,,,,,,,,,,,,
    deploymentNumber: 2238,,,,,,,,,,,,,,,,
Series Info: ,,,,,,,,,,,,,,,,
"  - name: ""Wetness""",,,,,,,,,,,,,,,,
    type: value,,,,,,,,,,,,,,,,
"    unitName: """"",,,,,,,,,,,,,,,,
    OMClassName: OMeasurementH21,,,,,,,,,,,,,,,,
    OMPartNumber: S-LWA-M003,,,,,,,,,,,,,,,,
    OMUnitIndex: 0,,,,,,,,,,,,,,,,
    OMChannelType: 21,,,,,,,,,,,,,,,,
"    OMValuePattern: ""#",##0.0;-#,"##0.0""",,,,,,,,,,,,,,
    logger: *1,,,,,,,,,,,,,,,,
"  - name: ""Voltage""",,,,,,,,,,,,,,,,
    type: value,,,,,,,,,,,,,,,,
"    unitName: """"",,,,,,,,,,,,,,,,
    OMClassName: OMeasurementH21,,,,,,,,,,,,,,,,
    OMPartNumber: 91-U30-CVIA-XX ,,,,,,,,,,,,,,,,
    OMUnitIndex: 0,,,,,,,,,,,,,,,,
    OMChannelType: 4,,,,,,,,,,,,,,,,
"    OMValuePattern: ""#",##0.000;-#,"##0.000""",,,,,,,,,,,,,,
    logger: *1,,,,,,,,,,,,,,,,
"  - name: ""Current""",,,,,,,,,,,,,,,,
    type: value,,,,,,,,,,,,,,,,
"    unitName: """"",,,,,,,,,,,,,,,,
    OMClassName: OMeasurementH21,,,,,,,,,,,,,,,,
    OMPartNumber: 91-U30-CVIA-XX ,,,,,,,,,,,,,,,,
    OMUnitIndex: 0,,,,,,,,,,,,,,,,
