NEW,TX,2/9/17,2/11/17,2/14/17,2/17/17,2/20/17,2/23/17,2/27/17,3/2/17,3/4/17,3/7/17,3/10/17,3/11/17,3/13/17,3/16/17,3/17/17,3/20/17,3/21/17,3/23/17,3/24/17,3/27/17
ACEPEN_W07,A,,,,,,,9,9,,9,10,,10,10,,11,,11,,13
ACEPEN_W12,A,,,,,,,,9,,9,10,,10,11,,12,,13,,15
ACEPEN_W04,A,,,,,,,,,,,,,,9,,9,,10,,11
ACEPEN_W05,A,,,,,,,,,,,,,9,9,,9,,9,,10
ACEPEN_W13,A,,,,,,,,,,,,,,9,,10,,11,,12
ACEPEN_H02,A,,,,,,,,,,,,,,,,9,,9,,10
ALNINC_H01,A,,,,,,,,,,,,,,,,9,,9,,10
ALNINC_W20,A,,,,,,,,,,9,9,,10,10,,14,,15,,
ALNINC_S02,A,,,,,,,,,9,10,10,,10,12,,14,15,,,
ALNINC_G03,A,,,,,,,,,,,9,,9,10,,13,,14,,15
ALNINC_G05,A,,,,,,,,,,9,9,,9,9,,10,,,,14
ALNINC_G09,A,,,,,,,,,,9,9,,9,9,,12,,13,,15
ALNINC_S08,A,,,,,,,,,,,9,,9,10,,13,,14,,15
ALNINC_H04,A,,,,,,,,,,,,,,,,9,,12,,14
ALNINC_H11,A,,,,,,,,,,,,,,9,,11,,13,,15
BETALL_W03,A,,,,,,,,,,,,,,,,,,,,
BETALL_S01,A,,,,,,,,,,,,,,,,,,,,
BETALL_S05,A,,,,,,,,,,,,,,9,,11,,13,,15
BETALL_W06,A,,,,,,,,,,9,10,,10,11,,13,,14,,15
BETALL_G02,A,,,,,,,,,,,,,,,,,,,,
BETALL_G04,A,,,,,,,,,,,,,,,,,,,,
BETPOP_H08,A,,,,,,,,,,,,,,,,,,,,
BETPOP_G03,A,,,,,,,,9,,9,9,,9,9,,9,,10,,13
CORCOR_W01,A,,,,,,,,,,,,,,,,9,,10,,11
ACEPEN_W08,B,,,,,,,,,,,9,,9,9,,9,,10,,11
ACEPEN_W09,B,,,,,,,,,,,9,,10,11,,11,2,3,,4
ACEPEN_W10,B,,,,,,,,,,,,,,,,,9,10,,11
ACEPEN_W11,B,,,,,,,,,,,,,,,,9,,10,,11
ACEPEN_W14,B,,,,,,,,,,,,,9,9,,10,,12,,1
ACEPEN_W15,B,,,,,,,,,,,,,,9,,9,,11,,11
ACEPEN_H03,B,,,,,,,,9,,10,2,,3,3,,2,3,2,,2
ALNINC_W22,B,,,,,,,,,,,,,,,9,11,3,5,,5
ALNINC_W23,B,,,,,,,,9,,,,,,9,,12,,4,,3
ALNINC_H16,B,,,,,,,,,,,,,9,11,,4,,4,,3
ALNINC_W25,B,,,,,,,,,,,,,,,,,,,,
ALNINC_H13,B,,,,,,,,,,,,,,,,,,9,,11
ALNINC_S12,B,,,,,,,,,,,,,,9,,13,2,4,,5
ALNINC_H19,B,,,,,,,,,,,,,,,,9,,11,,4
ALNINC_G10,B,,,,,,,,,,9,3,,4,4,,4,,4,,4
ALNINC_G24,B,,,,,,,,9,,11,4,,4,5,,4,,4,,4
ALNINC_S15,B,,,,,,,,,,9,3,,4,3,,3,,3,,3
BETALL_W10,B,,,,,,,,,,,,,,,,,,,,9
BETALL_W13,B,,,,,,,,,,9,9,,9,9,,12,,2,,1
BETALL_S07,B,,,,,,,,,,,,,,,,,,,,
BETALL_S11,B,,,,,,,,,,,,,,,,,,,,9
BETALL_G08,B,,,,,,,,,,,,,,,,,,,,9
BETALL_G09,B,,,,,,,,,,,,,,,,,,9,,9
BETPOP_H09,B,,,,,,,,,,,9,,10,12,,5,,4,,4
BETPOP_H11,B,,,,,,9,9,9,,4,5,,5,5,,5,,5,,4
BETPOP_H16,B,,,,,,,,9,,4,4,,3,4,,3,,2,,2
CORCOR_W02,B,,,,,,,,,,,,,,,,,,,,9
PRUPEN_W13,B,,,,,,9,9,9,,10,2,,4,5,,5,,5,,5
PRUPEN_S06,B,,,,,,,9,9,,10,3,,5,5,,5,,4,,15
PRUPEN_S05,B,,,,,,,9,10,,5,5,,4,4,,3,15,,,
ACEPEN_H06,C,,,,,,,,,,,,9,10,10,,11,,12,,3
ALNINC_W32,C,,,,,,,,,,,,,,,,9,,12,,3
ALNINC_H21,C,,,,,,,,,,,,,,9,,12,4,4,,5
ALNINC_W29,C,,,,,,,,9,,11,4,,4,4,,4,4,4,,4
ALNINC_H35,C,,,,,,,,,,,,,,9,,11,,4,,4
ALNINC_H27,C,,,,,,,,,,,,,,9,,13,,4,,3
ALNINC_G26,C,,,9,,,,1,1,,1,1,,1,1,,1,,1,,15
ALNINC_G28,C,,,,,,,,,,9,9,,11,12,,5,,5,,4
ALNINC_G36,C,,,,,,,,9,,3,4,,3,2,,2,,2,,15
ALNINC_S31,C,,,,,,,,,9,10,3,,4,4,,3,,3,,15
ALNINC_S33,C,,,,,,,,9,,4,5,,5,5,,5,,4,,5
ALNINC_S34,C,,,,,,,,,9,11,4,,5,5,,4,,4,,4
BETALL_S12,C,,,,,,,,,,,,,,,,,,,,
BETALL_S17,C,,,,,,,,,9,10,10,,12,13,,2,,2,,15
BETALL_W18,C,,,,,,,,,,,,,,9,,12,,2,,1
BETALL_W14,C,,,,,,,,,,,,,,,,,,,,
BETALL_G15,C,,,,,,,,,,,,,,,,,,,9,12
BETALL_G16,C,,,,,,,,,,,,,,,,,,,,
BETPOP_H23,C,,,,,,,,,,,,,,,,,,,,
BETPOP_H22,C,,,,,,,,,,,,,,,,,,,,
CORCOR_W03,C,,,,,,,,,,,,,,,,,,,,
PRUPEN_W14,C,,,,,,9,9,10,,3,4,,3,4,3,,15,,,
ACEPEN_W01,A,,,,,,,9,9,,10,11,,11,14,,15,,,,
ALNINC_W07,A,,,,,,,9,9,,9,10,,11,14,,15,,,,
ALNINC_W14,A,,,,,,,,9,,11,12,,13,15,,,,,,
ALNINC_S06,A,,,,,,,,9,,10,11,,14,15,,,,,,
BETPOP_H06,A,,,,,,,,9,,10,12,,15,,,,,,,
BETPOP_G07,A,,,,,,,9,9,,11,12,,15,,,,,,,
BETPOP_G02,A,,,,,,9,10,11,,14,15,,,,,,,,,
BETPOP_H05,A,,,,,9,10,10,11,,14,15,,,,,,,,,
BETPOP_G01,A,,,9,9,,9,10,11,,14,15,,,,,,,,,
BETPOP_W04,A,,9,9,11,,15,,,,,,,,,,,,,,
PRUPEN_S11,A,,,,,,9,11,11,,14,15,,,,,,,,,
PRUPEN_S02,A,,,,9,,9,10,10,,14,15,,,,,,,,,
PRUPEN_S04,A,,,,9,,9,11,11,,,15,,,,,,,,,
PRUPEN_S03,A,,,,9,,9,11,12,,15,,,,,,,,,,
PRUPEN_S01,A,,,,,,,9,9,,11,14,,15,,,,,,,
PRUPEN_S10,A,,,,,,,,,,9,10,,14,15,,,,,,
VIBCAS_W08,A,,,,,,,9,10,,11,14,,15,,,,,,,
PRUPEN_G08,A,,,,,9,10,13,14,,15,,,,,,,,,,
VIBCAS_S32,A,,,,9,,12,12,14,,15,,,,,,,,,,
VIBCAS_G06,A,,,,,,,9,11,,14,15,,,,,,,,,
VIBCAS_W05,A,,,,9,,11,13,13,,15,,,,,,,,,,
VIBCAS_G26,A,,,9,11,,13,15,,,,,,,,,,,,,
VIBCAS_G34,A,,,,9,,13,15,,,,,,,,,,,,,
VIBCAS_W10,A,,,,9,,12,15,,,,,,,,,,,,,
VIBCAS_W11,A,,9,9,11,,12,13,14,,15,,,,,,,,,,
VIBCAS_W30,A,,,,9,,9,14,14,,15,,,,,,,,,,
VIBCAS_W33,A,,,9,12,,14,14,15,,,,,,,,,,,,
VIBCAS_W37,A,,,,9,,13,14,15,,,,,,,,,,,,
VIBCAS_S07,A,,,,,9,10,12,14,,15,,,,,,,,,,
VIBCAS_S31,A,,,,,9,10,12,13,,14,15,,,,,,,,,
VIBCAS_G01,A,,,,9,,10,14,15,,,,,,,,,,,,
VIBCAS_G04,A,,9,,12,,14,15,,,,,,,,,,,,,
VIBCAS_G18,A,,,,9,,12,11,14,,15,,,,,,,,,,
ALNINC_S17,B,,,,,,,,9,,4,3,,3,3,,15,,,,
ALNINC_G18,B,,,,,,,,9,,2,3,,3,3,,15,,,,
BETPOP_G10,B,,,,,,9,2,4,,3,3,,3,15,,,,,,
BETPOP_G13,B,,,9,,,,2,4,,3,3,,3,15,,,,,,
BETPOP_G15,B,,,,,,,9,10,,2,2,,15,,,,,,,
BETPOP_W12,B,,9,9,10,,1,15,,,,,,,,,,,,,
BETPOP_W14,B,,9,,10,,1,15,,,,,,,,,,,,,
PRUPEN_S07,B,,,,9,,10,3,3,,2,15,,,,,,,,,
PRUPEN_S15,B,,,,,,9,3,3,,3,15,,,,,,,,,
PRUPEN_S12,B,,,,,,,9,9,,3,3,,2,2,,15,,,,
PRUPEN_S09,B,,,,,9,11,4,3,,15,,,,,,,,,,
VIBCAS_S20,B,,9,,,,2,15,,,,,,,,,,,,,
VIBCAS_G17,B,,,,,,3,15,,,,,,,,,,,,,
VIBCAS_S22,B,,9,,,,5,3,15,,,,,,,,,,,,
VIBCAS_W12,B,,9,,,,4,4,5,,5,15,,,,,,,,,
VIBCAS_W27,B,,9,,,,,3,15,,,,,,,,,,,,
VIBCAS_W19,B,,9,,,,,5,5,,5,15,,,,,,,,,
VIBCAS_W29,B,,,,9,,10,4,4,,15,,,,,,,,,,
VIBCAS_W35,B,,9,,9,,11,4,4,,4,15,,,,,,,,,
VIBCAS_G23,B,,9,,,,4,4,5,,4,15,,,,,,,,,
VIBCAS_G28,B,9,11,11,,,3,15,,,,,,,,,,,,,
VIBCAS_G24,B,,,,,,12,4,15,,,,,,,,,,,,
VIBCAS_S16,B,9,11,11,,,4,3,15,,,,,,,,,,,,
VIBCAS_G21,B,,,,9,,11,3,4,,4,2,,15,,,,,,,
VIBCAS_S03,B,,,,,,9,3,4,,4,1,,15,,,,,,,
VIBCAS_W13,B,,,,,,9,4,5,,5,5,,15,,,,,,,
VIBCAS_W36,B,,,,,,,9,12,,5,5,,5,4,,15,,,,
VIBCAS_G25,B,,,,9,,11,5,5,,5,4,,4,15,,,,,,
ALNINC_W30,C,,,,,,,,9,,3,3,,15,,,,,,,
BETPOP_H21,C,,,,,,,9,11,,4,3,,3,15,,,,,,
BETPOP_G17,C,,,9,9,,9,,2,,15,,,,,,,,,,
BETPOP_G24,C,,,,,,,9,11,,3,2,,2,15,,,,,,
BETPOP_W18,C,,,,,,9,3,3,,3,2,,3,15,,,,,,
BETPOP_G19,C,,,,9,,11,2,3,,15,,,,,,,,,,
BETPOP_G20,C,,9,,9,,10,2,3,,15,,,,,,,,,,
VIBCAS_S02,C,9,12,,,,5,5,5,,15,,,,,,,,,,
VIBCAS_S09,C,9,11,11,2,,5,4,5,,5,15,,,,,,,,,
VIBCAS_S14,C,9,11,,,,,4,4,,15,,,,,,,,,,
VIBCAS_S15,C,9,11,,,,,4,4,,15,,,,,,,,,,
