ID,Location,Collection Date,Sow Date,Pot Date,Raised Beds,Up-Pot Date,New ID,TX
BETALL08_WM,GH,9-Nov-15,24-Mar-16,14-Apr-16,NA,31-Oct-16,BETALL_W03,A
BETALL08_WM,GH,9-Sep-15,24-Mar-16,14-Apr-16,NA,31-Oct-16,BETALL_W04,A
BETALL08_WM,GH,1-Sep-15,24-Mar-16,28-Apr-16,NA,31-Oct-16,BETALL_W05,A
BETALL08_WM,GH,1-Sep-15,14-Apr-16,28-Apr-16,NA,31-Oct-16,BETALL_W06,A
BETALL09_SH,GH,9-Sep-15,12-Feb-16,28-Apr-16,NA,31-Oct-16,BETALL_S07,B
BETALL09_SH,GH,9-Sep-15,12-Feb-16,25-Mar-16,NA,31-Oct-16,BETALL_S08,B
BETALL09_SH,GH,9-Sep-15,12-Feb-16,25-Mar-16,NA,31-Oct-16,BETALL_S09,B
BETALL09_SH,GH,9-Sep-15,12-Feb-16,25-Mar-16,NA,31-Oct-16,BETALL_S10,B
BETALL09_WM,GH,9-Nov-15,12-Feb-16,28-Apr-16,NA,31-Oct-16,BETALL_W11,B
BETALL09_WM,GH,9-Nov-15,12-Feb-16,28-Apr-16,NA,31-Oct-16,BETALL_W12,C
BETALL13_GR,GH,9-Sep-15,12-Feb-16,25-Mar-16,NA,31-Oct-16,BETALL_G13,B
BETALL13_GR,GH,9-Sep-15,12-Feb-16,25-Mar-16,NA,31-Oct-16,BETALL_G14,C
BETALL13_GR,GH,9-Sep-15,12-Feb-16,25-Mar-16,NA,31-Oct-16,BETALL_G15,C
BETALL13_GR,GH,9-Sep-15,12-Feb-16,25-Mar-16,NA,31-Oct-16,BETALL_G16,C
BETALL15_GR,GH,9-Sep-15,12-Feb-16,28-Apr-16,NA,31-Oct-16,BETALL_G17,C
BETALL15_GR,GH,9-Sep-15,12-Feb-16,28-Apr-16,NA,31-Oct-16,BETALL_G18,C
BETPOP01_HF,RB,UNK,8-Jan-15,3-Mar-15,30-Jun-15,20-Oct-16,BETPOP_H01,A
BETPOP01_HF,RB,UNK,8-Jan-15,3-Mar-15,30-Jun-15,24-Oct-16,BETPOP_H02,A
BETPOP01_HF,RB,UNK,8-Jan-15,3-Mar-15,30-Jun-15,24-Oct-16,BETPOP_H03,A
BETPOP03_HF,RB,UNK,8-Jan-15,3-Mar-15,30-Jun-15,24-Oct-16,BETPOP_H04,A
BETPOP04_HF,RB,UNK,8-Jan-15,3-Mar-15,30-Jun-15,20-Oct-16,BETPOP_H05,A
BETPOP04_HF,RB,UNK,8-Jan-15,3-Mar-15,30-Jun-15,24-Oct-16,BETPOP_H06,A
BETPOP05_GR,GH,10-Sep-15,12-Feb-16,6-Jun-16,NA,31-Oct-16,BETPOP_G07,A
BETPOP05_HF,RB,UNK,8-Jan-15,3-Mar-15,30-Jun-15,20-Oct-16,BETPOP_H08,A
BETPOP05_HF,RB,UNK,8-Jan-15,3-Mar-15,30-Jun-15,20-Oct-16,BETPOP_H09,B
BETPOP05_HF,RB,UNK,8-Jan-15,3-Mar-15,30-Jun-15,24-Oct-16,BETPOP_H10,B
BETPOP06_GR,GH,10-Sep-15,12-Feb-16,6-Jun-16,NA,31-Oct-16,BETPOP_G11,B
BETPOP06_GR,GH,10-Sep-15,12-Feb-16,6-Jun-16,NA,31-Oct-16,BETPOP_G12,B
BETPOP06_GR,GH,10-Sep-15,12-Feb-16,6-Jun-16,NA,31-Oct-16,BETPOP_G13,B
BETPOP06_GR,GH,10-Sep-15,12-Feb-16,6-Jun-16,NA,31-Oct-16,BETPOP_G14,B
BETPOP06_GR,GH,10-Sep-15,12-Feb-16,6-Jun-16,NA,31-Oct-16,BETPOP_G15,B
BETPOP06_GR,GH,10-Sep-15,12-Feb-16,6-Jun-16,NA,31-Oct-16,BETPOP_G16,B
BETPOP06_GR,GH,10-Sep-15,12-Feb-16,6-Jun-16,NA,31-Oct-16,BETPOP_G17,C
BETPOP06_GR,GH,10-Sep-15,12-Feb-16,6-Jun-16,NA,31-Oct-16,BETPOP_G18,C
BETPOP06_GR,GH,10-Sep-15,12-Feb-16,6-Jun-16,NA,31-Oct-16,BETPOP_G19,C
BETPOP06_GR,GH,10-Sep-15,12-Feb-16,6-Jun-16,NA,31-Oct-16,BETPOP_G20,C
BETPOP07_WM,GH,16-Sep-15,24-Mar-16,7-Jun-16,NA,31-Oct-16,BETPOP_W21,C
BETPOP08_WM,GH,16-Sep-15,12-Feb-16,18-Jul-16,NA,31-Oct-16,BETPOP_W22,C
BETPOP08_WM,GH,16-Sep-15,12-Feb-16,18-Jul-16,NA,31-Oct-16,BETPOP_W23,C
BETPOP08_WM,GH,16-Sep-15,12-Feb-16,18-Jul-16,NA,31-Oct-16,BETPOP_W24,C
CORCOR05_WM,GH,10-Aug-15,14-Apr-16,28-Apr-16,NA,24-Oct-16,CORCOR_W01,A
CORCOR06_WM,GH,10-Aug-15,14-Apr-16,28-Apr-16,NA,24-Oct-16,CORCOR_W02,B
CORCOR06_WM,GH,10-Aug-15,14-Apr-16,28-Apr-16,NA,24-Oct-16,CORCOR_W03,C
PRUPEN02_SH,GH,31-Jul-15,14-Apr-16,28-Apr-16,NA,24-Oct-16,PRUPEN_S01,A
PRUPEN02_WM,GH,11-Aug-15,16-Apr-16,23-May-16,NA,31-Oct-16,PRUPEN_W02,A
PRUPEN03_WM,GH,11-Aug-15,14-Apr-16,23-May-16,NA,31-Oct-16,PRUPEN_W03,A
PRUPEN05_SH,GH,31-Jul-15,14-Apr-16,28-Apr-16,NA,24-Oct-16,PRUPEN_S04,A
PRUPEN05_SH,GH,31-Jul-15,14-Apr-16,28-Apr-16,NA,31-Oct-16,PRUPEN_S05,B
PRUPEN08_SH,GH,31-Jul-15,14-Apr-16,28-Apr-16,NA,24-Oct-16,PRUPEN_S06,B
PRUPEN08_SH,GH,31-Jul-15,14-Apr-16,28-Apr-16,NA,24-Oct-16,PRUPEN_S07,B
PRUPEN08_SH,GH,31-Jul-15,14-Apr-16,28-Apr-16,NA,24-Oct-16,PRUPEN_S08,A
PRUPEN08_SH,GH,31-Jul-15,14-Apr-16,28-Apr-16,NA,24-Oct-16,PRUPEN_S09,B
PRUPEN08_SH,GH,31-Jul-15,14-Apr-16,28-Apr-16,NA,24-Oct-16,PRUPEN_S10,C
PRUPEN08_SH,GH,31-Jul-15,14-Apr-16,28-Apr-16,NA,24-Oct-16,PRUPEN_S11,C
PRUPEN08_SH,GH,31-Jul-15,14-Apr-16,23-May-16,NA,31-Oct-16,PRUPEN_S12,C
PRUPEN11_GR,GH,10-Sep-15,14-Apr-16,28-Apr-16,NA,24-Oct-16,PRUPEN_G13,B
PRUPEN12_SH,GH,8-Sep-15,14-Apr-16,28-Apr-16,NA,24-Oct-16,PRUPEN_S14,C
PRUPEN12_SH,GH,8-Sep-15,14-Apr-16,28-Apr-16,NA,31-Oct-16,PRUPEN_S15,C
VIBCAS01_SH,RB,UNK,24-Nov-14,2-Mar-15,30-Jun-15,24-Oct-16,VIBCAS_S01,A
VIBCAS01_SH,RB,UNK,24-Nov-14,2-Mar-15,30-Jun-15,24-Oct-16,VIBCAS_S02,A
VIBCAS01_SH,RB,UNK,24-Nov-14,2-Mar-15,30-Jun-15,24-Oct-16,VIBCAS_S03,A
VIBCAS01_SH,RB,UNK,24-Nov-14,2-Mar-15,30-Jun-15,24-Oct-16,VIBCAS_S04,A
VIBCAS01_SH,RB,UNK,24-Nov-14,2-Mar-15,30-Jun-15,24-Oct-16,VIBCAS_S05,A
VIBCAS01_SH,RB,UNK,24-Nov-14,2-Mar-15,30-Jun-15,24-Oct-16,VIBCAS_S06,A
VIBCAS01_SH,RB,UNK,24-Nov-14,2-Mar-15,30-Jun-15,24-Oct-16,VIBCAS_S07,A
VIBCAS01_SH,GH,4-Sep-15,3-Dec-15,18-Feb-16,NA,24-Oct-16,VIBCAS_S08,A
VIBCAS03_GR,GH,9-Sep-15,3-Dec-15,18-Feb-16,NA,24-Oct-16,VIBCAS_G09,A
VIBCAS03_GR,GH,9-Sep-15,3-Dec-15,18-Feb-16,NA,24-Oct-16,VIBCAS_G10,A
VIBCAS03_GR,GH,9-Sep-15,3-Dec-15,18-Feb-16,NA,24-Oct-16,VIBCAS_G11,A
VIBCAS03_GR,GH,9-Sep-15,3-Dec-15,18-Feb-16,NA,24-Oct-16,VIBCAS_G12,B
VIBCAS03_GR,GH,9-Sep-15,3-Dec-15,18-Feb-16,NA,24-Oct-16,VIBCAS_G13,B
VIBCAS05_SH,RB,UNK,24-Nov-14,2-Mar-15,30-Jun-15,24-Oct-16,VIBCAS_S14,B
VIBCAS05_SH,RB,UNK,24-Nov-14,2-Mar-15,30-Jun-15,24-Oct-16,VIBCAS_S15,B
VIBCAS07_WM,GH,16-Sep-15,3-Dec-15,18-Feb-16,NA,24-Oct-16,VIBCAS_W16,B
VIBCAS07_WM,GH,16-Sep-15,3-Dec-15,18-Feb-16,NA,24-Oct-16,VIBCAS_W17,A
VIBCAS07_WM,GH,16-Sep-15,3-Dec-15,18-Feb-16,NA,24-Oct-16,VIBCAS_W18,B
VIBCAS07_WM,GH,16-Sep-15,3-Dec-15,18-Feb-16,NA,24-Oct-16,VIBCAS_W19,B
VIBCAS07_WM,GH,16-Sep-15,3-Dec-15,18-Feb-16,NA,24-Oct-16,VIBCAS_W20,B
VIBCAS08_WM,GH,16-Sep-15,3-Dec-15,18-Feb-16,NA,24-Oct-16,VIBCAS_W21,B
VIBCAS08_WM,GH,16-Sep-15,3-Dec-15,18-Feb-16,NA,24-Oct-16,VIBCAS_W22,C
VIBCAS08_WM,GH,16-Sep-15,3-Dec-15,18-Feb-16,NA,24-Oct-16,VIBCAS_W23,B
VIBCAS08_WM,GH,16-Sep-15,3-Dec-15,18-Feb-16,NA,24-Oct-16,VIBCAS_W24,B
