Date,Time,"Water Content (S-SMC 9927044:10659713-1), m^3/m^3","Pressure (S-BPB 9927044:10661037-1), inHg","Voltage (91-U30-CVIA 9927044:9896946-1), V","RH (S-THB 9927044:9909397-2), %","Wetness (S-LWA 9927044:9895688-1), %","Dew Point (S-THB 9927044:9909397-3), *F","Battery (U30 BATTERY 9927044:9927044-B), V","Wind Direction (S-WCA 9927044:9907761-3), *","Temperature (S-TMB 9927044:9912395-1), *F","Temperature (S-THB 9927044:9909397-1), *F","Wind Speed (S-WCA 9927044:9907761-1), mph","Solar Radiation (S-LIB 9927044:9903142-1), W/m^2","Rain (S-RGA 9927044:9917722-1), in","Current (91-U30-CVIA 9927044:9896946-2), mA","Gust Speed (S-WCA 9927044:9907761-2), mph"
11/30/16,02:30:00,0.1949,29.759,-0.204,98.20,95.9,45.39,4.33,306,-888.88,45.85,0.0,1,0.00,0.006,0.0
11/30/16,02:45:00,0.1949,29.756,-0.204,98.30,95.9,45.00,4.34,313,-888.88,45.44,0.0,1,0.00,0.006,0.0
11/30/16,03:00:00,0.1949,29.756,-0.204,98.40,96.5,44.22,4.35,338,-888.88,44.63,0.8,1,0.00,0.006,4.6
11/30/16,03:15:00,0.1957,29.759,-0.204,98.70,95.9,44.02,4.32,350,-888.88,44.36,0.0,1,0.00,0.006,0.0
11/30/16,03:30:00,0.1949,29.765,-0.204,98.80,95.9,43.74,4.33,4,-888.88,44.04,0.0,1,0.00,0.006,0.0
11/30/16,03:45:00,0.1949,29.782,-0.204,98.90,95.9,43.52,4.34,326,-888.88,43.81,0.0,1,0.00,0.006,0.0
11/30/16,04:00:00,0.1942,29.780,-0.204,98.90,95.9,43.43,4.35,285,-888.88,43.72,0.0,1,0.00,0.006,0.0
11/30/16,04:15:00,0.1942,29.777,-0.204,99.00,95.9,43.32,4.32,247,-888.88,43.58,0.0,1,0.00,0.006,0.0
11/30/16,04:30:00,0.1935,29.785,-0.204,99.10,94.7,43.18,4.34,247,-888.88,43.40,0.0,1,0.00,0.006,0.0
11/30/16,04:45:00,0.1935,29.800,-0.204,99.10,94.7,43.03,4.34,274,-888.88,43.26,0.0,1,0.00,0.006,0.0
11/30/16,05:00:00,0.1935,29.800,-0.204,99.00,94.7,42.91,4.35,298,-888.88,43.17,0.0,1,0.00,0.006,0.0
11/30/16,05:15:00,0.1935,29.812,-0.204,99.10,94.1,42.85,4.41,250,-888.88,43.08,0.0,1,0.00,0.006,0.0
11/30/16,05:30:00,0.1928,29.815,-0.204,99.20,94.1,42.69,4.33,254,-888.88,42.89,0.0,1,0.00,0.006,0.0
11/30/16,05:45:00,0.1928,29.833,-0.204,99.20,94.1,42.93,4.34,256,-888.88,43.12,0.0,1,0.00,0.006,0.0
11/30/16,06:00:00,0.1928,29.844,-0.204,99.20,94.7,43.05,4.35,267,-888.88,43.26,0.0,1,0.00,0.006,0.0
11/30/16,06:15:00,0.1928,29.844,-0.204,99.30,94.7,43.12,4.32,258,-888.88,43.30,0.0,1,0.00,0.006,0.0
11/30/16,06:30:00,0.1920,29.844,-0.204,99.20,94.7,42.96,4.33,260,-888.88,43.17,0.0,1,0.00,0.006,0.0
11/30/16,06:45:00,0.1928,29.842,-0.204,99.30,94.7,43.12,4.34,260,-888.88,43.30,0.0,1,0.00,0.006,0.0
11/30/16,07:00:00,0.1928,29.806,-0.204,99.30,95.3,43.86,4.34,337,-888.88,44.04,0.0,4,0.00,0.006,0.0
11/30/16,07:15:00,0.1928,29.788,-0.204,99.40,96.5,44.89,4.51,37,-888.88,45.04,1.2,9,0.00,0.006,7.1
11/30/16,07:30:00,0.1928,29.803,-0.204,99.40,97.1,45.21,4.33,354,-888.88,45.35,0.4,18,0.00,0.006,7.9
11/30/16,07:45:00,0.1920,29.824,-0.204,99.30,97.6,45.77,4.34,271,-888.88,45.94,0.0,26,0.00,0.006,0.0
11/30/16,08:00:00,0.1928,29.833,-0.204,99.20,98.2,46.33,4.37,299,-888.88,46.53,0.0,49,0.00,0.006,0.0
11/30/16,08:15:00,0.1928,29.844,-0.204,99.30,98.8,46.71,4.51,170,-888.88,46.89,0.0,58,0.00,0.006,0.0
11/30/16,08:30:00,0.1928,29.856,-0.204,99.20,99.4,46.90,4.39,104,-888.88,47.11,0.0,67,0.00,0.006,0.0
11/30/16,08:45:00,0.1928,29.868,-0.204,99.20,100.0,47.08,4.44,104,-888.88,47.29,0.0,69,0.00,0.006,0.0
11/30/16,09:00:00,0.1928,29.853,-0.204,99.10,99.4,47.34,4.47,59,-888.88,47.56,0.0,87,0.00,0.006,0.0
11/30/16,09:15:00,0.1920,29.877,-0.204,98.90,100.0,47.59,4.51,49,-888.88,47.87,0.0,117,0.00,0.006,0.0
11/30/16,09:30:00,0.1920,29.871,-0.204,98.60,100.0,48.36,4.54,53,-888.88,48.72,0.0,162,0.00,0.006,4.6
11/30/16,09:45:00,0.1920,29.868,-0.204,98.10,100.0,48.22,4.55,77,-888.88,48.72,2.5,126,0.00,0.006,6.2
11/30/16,10:00:00,0.1913,29.865,-0.204,97.40,100.0,47.62,4.56,70,-888.88,48.32,2.5,107,0.00,0.006,10.4
