OLD,NEW,TX,soil.7.Feb,soil.11.Feb,BBCH.11.Feb,soil.14.Feb,BBCH.14.Feb
PRUPEN02_SH,PRUPEN_S11,A,9.6,8.2,,8.8,
VIBCAS03_GR,VIBCAS_G26,A,8.3,8.2,,8,
VIBCAS03_GR,VIBCAS_G34,A,7.7,7.9,9,7.3,
VIBCAS09_SH,VIBCAS_S31,A,8.1,7.7,,8.4,
VIBCAS01_SH,VIBCAS_S32,A,8,8.2,,7.5,
VIBCAS08_WM,VIBCAS_W30,A,7.7,8.1,,7.9,
VIBCAS08_WM,VIBCAS_W33,A,8.9,7.4,,8.4,
VIBCAS08_WM,VIBCAS_W37,A,7.7,2.8,,8.4,
VIBCAS03_GR,VIBCAS_G17,B,,7.2,,10.3,
VIBCAS05_SH,VIBCAS_S03,B,,9.3,11,8.9,
ACEPEN12_HF,ACEPEN_H03,B,,10,,10.5,
ACEPEN05_WM,ACEPEN_W08,B,,8.2,,9,
ACEPEN05_WM,ACEPEN_W09,B,,9.6,,8.7,
ACEPEN06_WM,ACEPEN_W10,B,,9,,10.4,
ACEPEN06_WM,ACEPEN_W11,B,,9.5,,9.4,
ALNINC07_GR,ALNINC_G10,B,,7.4,,9.6,
ALNINC07_GR,ALNINC_G18,B,,8.3,,9.2,
ALNINC07_GR,ALNINC_G24,B,,8.8,,10,
ALNINC05_HF,ALNINC_H13,B,,8.9,,11.9,
ALNINC02_HF,ALNINC_H16,B,,9.2,,10.4,
ALNINC06_HF,ALNINC_H19,B,,9.4,,9.3,
ALNINC05_SH,ALNINC_S12,B,,8.1,,9.1,
ALNINC07_SH,ALNINC_S15,B,,9,,10,
ALNINC07_SH,ALNINC_S17,B,,9.3,,9.4,
ALNINC01_WM,ALNINC_W22,B,,7.8,,8.5,
ALNINC01_WM,ALNINC_W23,B,,9.3,,9.8,
ALNINC02_WM,ALNINC_W25,B,,7.6,,10,
BETALL13_GR,BETALL_G08,B,,8.6,,8.8,
BETALL15_GR,BETALL_G09,B,,7.5,,11.3,
BETALL09_SH,BETALL_S07,B,,8.2,,8.9,9
