"ID","budburst","bbch.first","leafout","bbch.last","species","individ","bud","TX","burst","total","burst.perc","perc"
"BETPAP_G01_1",93,"9",101,"14","BETPAP","BETPAP_G01","1","A",0,24,16,0.666666666666667
"BETPAP_G01_10",101,"10",101,"10","BETPAP","BETPAP_G01","10","A",0,24,16,0.666666666666667
"BETPAP_G01_11",93,"9",101,"14","BETPAP","BETPAP_G01","11","A",0,24,16,0.666666666666667
"BETPAP_G01_12",93,"9",101,"15","BETPAP","BETPAP_G01","12","A",1,24,16,0.666666666666667
"BETPAP_G01_13",101,"14",101,"14","BETPAP","BETPAP_G01","13","A",0,24,16,0.666666666666667
"BETPAP_G01_14",101,"9",101,"9","BETPAP","BETPAP_G01","14","A",1,24,16,0.666666666666667
"BETPAP_G01_15",101,"9",101,"9","BETPAP","BETPAP_G01","15","A",1,24,16,0.666666666666667
"BETPAP_G01_16",93,"12",101,"15","BETPAP","BETPAP_G01","16","A",1,24,16,0.666666666666667
"BETPAP_G01_17",93,"10",101,"15","BETPAP","BETPAP_G01","17","A",1,24,16,0.666666666666667
"BETPAP_G01_18",101,"10",101,"10","BETPAP","BETPAP_G01","18","A",0,24,16,0.666666666666667
"BETPAP_G01_19",88,"14",93,"15","BETPAP","BETPAP_G01","19","A",1,24,16,0.666666666666667
"BETPAP_G01_2",101,"14",101,"14","BETPAP","BETPAP_G01","2","A",0,24,16,0.666666666666667
"BETPAP_G01_20",88,"11",93,"15","BETPAP","BETPAP_G01","20","A",1,24,16,0.666666666666667
"BETPAP_G01_21",88,"13",93,"15","BETPAP","BETPAP_G01","21","A",1,24,16,0.666666666666667
"BETPAP_G01_23",101,"10",101,"10","BETPAP","BETPAP_G01","23","A",0,24,16,0.666666666666667
"BETPAP_G01_24",101,"9",101,"9","BETPAP","BETPAP_G01","24","A",1,24,16,0.666666666666667
"BETPAP_G01_25",101,"14",101,"14","BETPAP","BETPAP_G01","25","A",0,24,16,0.666666666666667
"BETPAP_G01_3",93,"12",101,"15","BETPAP","BETPAP_G01","3","A",1,24,16,0.666666666666667
"BETPAP_G01_4",88,"10",93,"15","BETPAP","BETPAP_G01","4","A",1,24,16,0.666666666666667
"BETPAP_G01_5",88,"13",93,"15","BETPAP","BETPAP_G01","5","A",1,24,16,0.666666666666667
